Date,Close,,Date,Close,,Date,Close
27/02/2025 23:58:00,85090.99,,27/02/2025 23:58:00,2332.5324,,27/02/2025 23:58:00,134.8675
28/02/2025 23:58:00,80376.5,,28/02/2025 23:58:00,2305.5974,,28/02/2025 23:58:00,137.6058
01/03/2025 23:58:00,86273.05,,01/03/2025 23:58:00,2235.8163,,01/03/2025 23:58:00,147.9956
02/03/2025 23:58:00,85812.15,,02/03/2025 23:58:00,2216.2998,,02/03/2025 23:58:00,143.6311
03/03/2025 23:58:00,92841.09,,03/03/2025 23:58:00,2519.0844,,03/03/2025 23:58:00,178.4556
04/03/2025 23:58:00,83518.82,,04/03/2025 23:58:00,2147.7012,,04/03/2025 23:58:00,142.0484
05/03/2025 23:58:00,86951.6,,05/03/2025 23:58:00,2170.7004,,05/03/2025 23:58:00,144.9224
06/03/2025 23:58:00,92272.38,,06/03/2025 23:58:00,2241.9048,,06/03/2025 23:58:00,146.2677
07/03/2025 23:58:00,87701.4,,07/03/2025 23:58:00,2202.2975,,07/03/2025 23:58:00,143.3527
08/03/2025 23:58:00,86468.85,,08/03/2025 23:58:00,2140.2135,,08/03/2025 23:58:00,139.2415
09/03/2025 23:58:00,86143.01,,09/03/2025 23:58:00,2202.7799,,09/03/2025 23:58:00,136.9606
10/03/2025 23:58:00,82106.8,,10/03/2025 23:58:00,2018.3289,,10/03/2025 23:58:00,126.4502
11/03/2025 23:58:00,79506.47,,11/03/2025 23:58:00,1863.7698,,11/03/2025 23:58:00,118.315
12/03/2025 23:58:00,82201.03,,12/03/2025 23:58:00,1921.8031,,12/03/2025 23:58:00,125.2657
13/03/2025 23:58:00,83605.95,,13/03/2025 23:58:00,1908.0938,,13/03/2025 23:58:00,126.5901
14/03/2025 23:58:00,81877.78,,14/03/2025 23:58:00,1863.4771,,14/03/2025 23:58:00,123.3121
15/03/2025 23:58:00,84582.41,,15/03/2025 23:58:00,1910.8596,,15/03/2025 23:58:00,133.426
16/03/2025 23:58:00,84410.52,,16/03/2025 23:58:00,1937.0931,,16/03/2025 23:58:00,135.9194
17/03/2025 23:58:00,83702.25,,17/03/2025 23:58:00,1887.202,,17/03/2025 23:58:00,126.0396
18/03/2025 23:58:00,83152.52,,18/03/2025 23:58:00,1926.5746,,18/03/2025 23:58:00,128.1604
19/03/2025 23:58:00,83076.51,,19/03/2025 23:58:00,1931.7574,,19/03/2025 23:58:00,125.317
20/03/2025 23:58:00,85919.08,,20/03/2025 23:58:00,2057.6814,,20/03/2025 23:58:00,135.533
21/03/2025 23:58:00,84434.41,,21/03/2025 23:58:00,1982.3914,,21/03/2025 23:58:00,127.4994
22/03/2025 23:58:00,84345.25,,22/03/2025 23:58:00,1965.2958,,22/03/2025 23:58:00,128.4234
23/03/2025 23:58:00,84294.35,,23/03/2025 23:58:00,1980.1805,,23/03/2025 23:58:00,128.493
24/03/2025 23:58:00,86531.37,,24/03/2025 23:58:00,2006.0249,,24/03/2025 23:58:00,132.6302
25/03/2025 23:58:00,86496.49,,25/03/2025 23:58:00,2081.8109,,25/03/2025 23:58:00,140.9225
26/03/2025 23:58:00,87186.84,,26/03/2025 23:58:00,2067.1385,,26/03/2025 23:58:00,143.786
27/03/2025 23:58:00,87692.71,,27/03/2025 23:58:00,2009.4311,,27/03/2025 23:58:00,137.2894
28/03/2025 23:58:00,86810.84,,28/03/2025 23:58:00,2002.647,,28/03/2025 23:58:00,138.3527
